ID,URL,ESTADO,ALCANCE,INSTITUCIÓN,NOMBRE,BENEFICIARIO,INICIO,FIN,MONTO,FECHA_EXTRACCION,DESCRIPCION,CATEGORIA,WEB
1,https://fondos.gob.cl/ficha/corfo/incentivo_tributario/,ABIERTO,Nacional,Corporación de Fomento de la Producción - CORFO,LEY INCENTIVO TRIBUTARIO A LA I+D,Personas Naturales y Jurídicas,01/01/2024,31/12/2024,15.000 UTM,2024-11-26 11:17:29,"La Ley de Investigación y Desarrollo (I+D) tiene por objetivo contribuir a mejorar la capacidad competitiva de las empresas chilenas, al establecer un incentivo tributario para la inversión en I+D permitiéndoles rebajar, del impuesto de primera categoría, hasta el 52,55% de los recursos destinados a actividades de investigación y desarrollo.",Investigación y desarrollo,https://www.corfo.cl/sites/cpp/incentivo_tributario
2,https://fondos.gob.cl/ficha/prochile/marcas-sectoriales/,ABIERTO,Nacional,Dirección General de Promoción de Exportaciones - ProChile,CONCURSO MARCAS SECTORIALES,Organizaciones,01/01/2024,31/12/2024,No aplica,2024-11-26 11:17:33,"Herramienta de modalidad Ventanilla Abierta que apoya el posicionamiento internacional de diferentes sectores exportadores chilenos, a través de la creación, diseño e implementación de marcas sectoriales representativas de sectores productivos nacionales, fortaleciendo la imagen de Chile en el exterior.",Comunicación y difusión,https://www.prochile.gob.cl/herramientas/marcas-sectoriales/postulacion
3,https://fondos.gob.cl/ficha/subdere/pmb/,ABIERTO,Comunal,Subsecretaría De Desarrollo Regional y Administrativo - SUBDERE,PROGRAMA MEJORAMIENTO DE BARRIOS,Organizaciones,01/01/2024,31/12/2024,No aplica,2024-11-26 11:17:39,"El objetivo de este programa es la reducción del déficit de cobertura en ámbitos de saneamiento sanitario, además en tema de residuos sólidos, energización y la protección del patrimonio. A través del programa se pueden adquirir terrenos para cementerios, espacio recreativos y deportivos, para viviendas.
Todo lo anterior, con un foco eminentemente social a través del financiamiento de estas iniciativas que van en beneficio de gobiernos locales, ya sea por medio de municipios y/o asociaciones de municipios.","Ciudad, vivienda e Infraestructura",https://www.subdere.gov.cl/content/gu%C3%ADa-operativa-pmb-2023
4,https://fondos.gob.cl/ficha/corfo/innovaaltatecnologia/,ABIERTO,Nacional,Corporación de Fomento de la Producción - CORFO,INNOVA ALTA TECNOLOGÍA,Personas Naturales y Jurídicas,11/01/2024,30/12/2024,Hasta $1.000.000.000,2024-11-26 11:17:50,"Apoya innovaciones intensivas en I+D con alto riesgo tecnológico para que escalen a nivel global, fortaleciendo las capacidades de I+D+i en la empresa.",Emprendimiento e Innovación,https://www.corfo.cl/sites/cpp/inf/movil/innova-alta-tecnologia
5,https://fondos.gob.cl/ficha/corfo/pat2024/,ABIERTO,Nacional,Corporación de Fomento de la Producción - CORFO,PROGRAMA ABSORCIÓN TECNÓLOGICA,Personas Naturales y Jurídicas,30/01/2024,30/12/2024,Hasta $300.000.000,2024-11-26 11:18:03,"Este programa busca contribuir a mejorar las capacidades de innovación sistemática en un conjunto de empresas, de preferencia Pymes, mediante el fortalecimiento de las capacidades de absorción tecnológica, cofinanciando la incorporación de nuevo conocimiento, mejores prácticas y/o tecnologías.",Emprendimiento e Innovación,https://www.corfo.cl/sites/cpp/convocatorias/programa_absorcion_tecnologica_para_la_innovacion
6,https://fondos.gob.cl/ficha/minenergia/mte-ohiggins/,ABIERTO,Regional,Ministerio de Energía,MI TAXI ELÉCTRICO O'HIGGINS,Personas Naturales y Jurídicas,13/03/2024,30/10/2025,Hasta $16.000.000,2024-11-26 11:18:10,"Este fondo cofinancia la inversión para el reemplazo de un vehículo con motor de combustión interna, que sea taxi en todas sus modalidades, según DS-212 de MTT a un vehículo eléctrico. El vehículo a reemplazar debe estar inscrito en el registro nacional de transporte de pasajeros en la región y el propietario debe contar con un lugar o estacionamiento bajo su control y que pueda ser instalado un cargador para el vehículo eléctrico. Este Fondo se encontrará abierto hasta completar los cupos (152).",Medio Ambiente,https://www.mitaxielectrico.cl/
7,https://fondos.gob.cl/ficha/minenergia/mte-antofagasta/,ABIERTO,Regional,Ministerio de Energía,MI TAXI ELÉCTRICO ANTOFAGASTA,Personas Naturales y Jurídicas,26/03/2024,30/10/2025,Hasta $16.000.000,2024-11-26 11:18:16,"Este fondo cofinancia la inversión para el reemplazo de un vehículo con motor de combustión interna, que sea taxi en todas sus modalidades, según DS-212 de MTT a un vehículo eléctrico. El vehículo a reemplazar debe estar inscrito en el registro nacional de transporte de pasajeros en la región y el propietario debe contar con un lugar o estacionamiento bajo su control y que pueda ser instalado un cargador para el vehículo eléctrico. Este Fondo se encontrará abierto hasta completar los cupos (59).",Medio Ambiente,https://www.mitaxielectrico.cl/
8,https://fondos.gob.cl/ficha/minenergia/mte-atacama/,ABIERTO,Regional,Ministerio de Energía,MI TAXI ELÉCTRICO ATACAMA,Personas Naturales y Jurídicas,30/04/2024,30/10/2025,Hasta $16.000.000,2024-11-26 11:18:21,"Este fondo cofinancia la inversión para el reemplazo de un vehículo con motor de combustión interna, que sea taxi en todas sus modalidades, según DS-212 de MTT a un vehículo eléctrico. El vehículo a reemplazar debe estar inscrito en el registro nacional de transporte de pasajeros en la región y el propietario debe contar con un lugar o estacionamiento bajo su control y que pueda ser instalado un cargador para el vehículo eléctrico. Este Fondo se encontrará abierto hasta completar los cupos (158).",Medio Ambiente,https://www.mitaxielectrico.cl/
9,https://fondos.gob.cl/ficha/minenergia/mte-biobio/,ABIERTO,Regional,Ministerio de Energía,MI TAXI ELÉCTRICO BÍOBÍO,Personas Naturales y Jurídicas,30/04/2024,30/10/2025,Hasta $16.000.000,2024-11-26 11:18:25,"Este fondo cofinancia la inversión para el reemplazo de un vehículo con motor de combustión interna, que sea taxi en todas sus modalidades, según DS-212 de MTT a un vehículo eléctrico. El vehículo a reemplazar debe estar inscrito en el registro nacional de transporte de pasajeros en la región y el propietario debe contar con un lugar o estacionamiento bajo su control y que pueda ser instalado un cargador para el vehículo eléctrico. Este Fondo se encontrará abierto hasta completar los cupos (299).",Medio Ambiente,https://www.mitaxielectrico.cl/
10,https://fondos.gob.cl/ficha/corfo/red-proveedores/,ABIERTO,Regional,Corporación de Fomento de la Producción - CORFO,RED PROVEEDORES,Organizaciones,29/05/2024,29/12/2024,Hasta $50.000.000,2024-11-26 11:18:30,"Promueve el valor estratégico del trabajo colaborativo para mejorar la oferta de valor y acceso a nuevos mercados, fortaleciendo las relaciones estratégicas entre Proveedores y Demandante",Emprendimiento e Innovación,http://www.corfo.cl/sites/cpp/inf/red-proveedores
11,https://fondos.gob.cl/ficha/corfo/red-asociativa/,ABIERTO,Nacional,Corporación de Fomento de la Producción - CORFO,RED ASOCIATIVA,Organizaciones,13/06/2024,31/12/2024,Hasta $40.000.000,2024-11-26 11:18:35,Promueve el valor estratégico del trabajo colaborativo y la asociatividad como herramientas para el mejoramiento de la oferta de valor y acceso a nuevos mercados.,Emprendimiento e Innovación,https://www.corfo.cl/sites/cpp/inf/red-asociativa
12,https://fondos.gob.cl/ficha/corfo/activa-riego/,ABIERTO,Regional,Corporación de Fomento de la Producción - CORFO,ACTIVA RIEGO,Organizaciones,13/06/2024,31/12/2024,Hasta $9.000.000,2024-11-26 11:18:40,"Apoya a la formulación de proyectos de riego intra o extraprediales, identificando las diversas alternativas de inversión y evaluarlas técnica, económica y financieramente.",Emprendimiento e Innovación,https://www.corfo.cl/sites/cpp/inf/activa-riego
13,https://fondos.gob.cl/ficha/mma/fpr-2025/,ABIERTO,Nacional,Ministerio del Medio Ambiente,FONDO PARA EL RECICLAJE 2025,Organizaciones,16/10/2024,29/11/2024,$14.000.000,2024-11-26 11:18:46,"El Ministerio del Medio Ambiente, a través de la Oficina de Implementación Legislativa y Economía Circular y en conjunto con las Secretarías Regionales Ministeriales, invita a las municipalidades y asociaciones de municipalidades a participar en el 11° Llamado del Fondo para el Reciclaje 2025. Este fondo concursable busca fortalecer la economía circular en los territorios y enfrentar los desafíos nacionales en la gestión de residuos.",Medio Ambiente,http://www.fondos.mma.gob.cl
